movie_id,score,actor_experience,director_ability,director_experience,company,genre,budget,runtime,month
19995,0.8818181818181818,0,0,0,0,0,237000000,0,4
597,0.7399834889042385,0,0,0,0,0,200000000,0,4
24428,0.6725209072306286,0,0,0,0,0,220000000,0,2
122,0.664300373036814,0,0,0,0,0,94000000,0,4
168259,0.6610432118340506,0,0,0,0,0,190000000,0,2
155,0.6528869781082915,0,0,0,0,0,185000000,0,4
99861,0.642957315579773,0,0,0,0,0,280000000,0,2
121,0.6206678488783418,0,0,0,0,0,79000000,0,4
109445,0.6194303491054768,0,0,0,0,0,150000000,0,4
49026,0.6127571771535514,0,0,0,0,0,250000000,0,4
27205,0.6116891872468609,0,0,0,0,0,160000000,0,4
120,0.610818541249386,0,0,0,0,0,93000000,0,4
10193,0.6095345038875725,0,0,0,0,0,200000000,0,5
150540,0.6083512948028169,0,0,0,0,0,175000000,0,5
11,0.6026979033394753,0,0,0,0,0,11000000,0,4
8587,0.5959104256488595,0,0,0,0,0,45000000,0,5
13,0.5943114350882903,0,0,0,0,0,55000000,0,4
57158,0.5900633608756782,0,0,0,0,0,250000000,0,4
135397,0.5896214525979397,0,0,0,0,0,150000000,0,5
12,0.5868236378935013,0,0,0,0,0,94000000,0,4
157336,0.5847138154191527,0,0,0,0,0,165000000,0,4
671,0.5842141629559663,0,0,0,0,0,125000000,0,4
118340,0.5841449580948551,0,0,0,0,0,170000000,0,4
329,0.5831945498100759,0,0,0,0,0,63000000,0,5
271110,0.5795634407995041,0,0,0,0,0,250000000,0,2
674,0.5697673290878876,0,0,0,0,0,150000000,0,4
1891,0.5692850387226224,0,0,0,0,0,18000000,0,4
673,0.5689179706168498,0,0,0,0,0,130000000,0,4
675,0.5682611121818546,0,0,0,0,0,150000000,0,5
767,0.5674982722474213,0,0,0,0,0,250000000,0,4
68721,0.5634342384118399,0,0,0,0,0,200000000,0,2
14160,0.5591069640522912,0,0,0,0,0,175000000,0,4
672,0.5572272090378403,0,0,0,0,0,100000000,0,4
58,0.5547541304440623,0,0,0,0,0,200000000,0,5
37724,0.5533572225060626,0,0,0,0,0,200000000,0,2
177572,0.5533136009255032,0,0,0,0,0,165000000,0,2
101299,0.5519787505026136,0,0,0,0,0,130000000,0,4
1892,0.5481637532136069,0,0,0,0,0,32350000,0,4
745,0.5479352302335122,0,0,0,0,0,40000000,0,2
49051,0.5467633100307758,0,0,0,0,0,250000000,0,4
100402,0.5463695753352863,0,0,0,0,0,170000000,0,2
122917,0.5441819426659349,0,0,0,0,0,250000000,0,4
127585,0.543214216254712,0,0,0,0,0,250000000,0,4
293660,0.540445160722548,0,0,0,0,0,58000000,0,2
424,0.5394524878916748,0,0,0,0,0,22000000,0,4
93456,0.5377349155333491,0,0,0,0,0,76000000,0,5
238,0.5348597289139438,0,0,0,0,0,6000000,0,2
601,0.5331113715161314,0,0,0,0,0,10500000,0,2
857,0.5318688725433363,0,0,0,0,0,70000000,0,4
286217,0.5311963749195328,0,0,0,0,0,108000000,0,1
129,0.5311237456471476,0,0,0,0,0,15000000,0,4
10681,0.5298567755933838,0,0,0,0,0,180000000,0,5
603,0.5285826887796379,0,0,0,0,0,63000000,0,2
98,0.5275287018238974,0,0,0,0,0,103000000,0,4
82702,0.5274232200700012,0,0,0,0,0,145000000,0,5
285,0.5268932872855435,0,0,0,0,0,300000000,0,4
22,0.5265620031746302,0,0,0,0,0,140000000,0,4
1895,0.5251681073398982,0,0,0,0,0,113000000,0,4
497,0.5237679565176653,0,0,0,0,0,60000000,0,4
105,0.5228944234837386,0,0,0,0,0,19000000,0,4
807,0.5223370915450759,0,0,0,0,0,33000000,0,1
2062,0.520950667682258,0,0,0,0,0,150000000,0,5
280,0.5205305944793803,0,0,0,0,0,100000000,0,4
680,0.5201845214416239,0,0,0,0,0,8000000,0,2
49047,0.5193884825363069,0,0,0,0,0,105000000,0,1
119450,0.5183575979209069,0,0,0,0,0,170000000,0,5
211672,0.5165415877230758,0,0,0,0,0,74000000,0,5
106646,0.5157567194642739,0,0,0,0,0,100000000,0,4
4935,0.5148206495005933,0,0,0,0,0,24000000,0,4
9806,0.5132441511414694,0,0,0,0,0,92000000,0,4
68718,0.5126500233096356,0,0,0,0,0,100000000,0,4
274,0.5125505714849258,0,0,0,0,0,19000000,0,2
210577,0.5116909695834995,0,0,0,0,0,61000000,0,2
585,0.5100275432166341,0,0,0,0,0,115000000,0,4
278927,0.5097069266154938,0,0,0,0,0,175000000,0,2
14,0.5093534643967624,0,0,0,0,0,15000000,0,1
38757,0.5061337379860527,0,0,0,0,0,260000000,0,4
207,0.5059359232869294,0,0,0,0,0,16400000,0,5
278,0.5050826829186491,0,0,0,0,0,25000000,0,1
1726,0.5049463637410034,0,0,0,0,0,140000000,0,2
89,0.5032207505042997,0,0,0,0,0,48000000,0,4
16869,0.5026881080529503,0,0,0,0,0,70000000,0,2
809,0.5013295162441029,0,0,0,0,0,150000000,0,4
128,0.5013098690477897,0,0,0,0,0,26500000,0,4
550,0.4999053863747237,0,0,0,0,0,63000000,0,2
102651,0.4996745106026612,0,0,0,0,0,180000000,0,4
770,0.4990411619900737,0,0,0,0,0,4000000,0,4
36557,0.4983432444013615,0,0,0,0,0,150000000,0,4
10191,0.4978434745178634,0,0,0,0,0,165000000,0,2
1422,0.4974363019138763,0,0,0,0,0,90000000,0,2
190859,0.497258532322775,0,0,0,0,0,58800000,0,4
85,0.4972028156349242,0,0,0,0,0,18000000,0,5
62211,0.496987930644147,0,0,0,0,0,200000000,0,5
1865,0.4966315120813072,0,0,0,0,0,380000000,0,4
205596,0.4964317363064625,0,0,0,0,0,14000000,0,4
177677,0.4950978045564832,0,0,0,0,0,150000000,0,4
862,0.4942666342015103,0,0,0,0,0,30000000,0,2
581,0.4942602774290877,0,0,0,0,0,22000000,0,4
578,0.493498949904789,0,0,0,0,0,7000000,0,5
137106,0.4932311365754222,0,0,0,0,0,60000000,0,2
