movie_id,movie_title,score,actor_experience,director_ability,director_experience,company,genre,budget,runtime,month
9806,The Incredibles,3.77,1.14,5.77,2.77,10.0,0,2.34,0,7.5
68718,Django Unchained,3.76,0.75,9.33,1.51,2.0,0,2.55,0,7.5
274,The Silence of the Lambs,3.75,0.46,5.17,0.12,0.2,0,0.4,0,2.5
210577,Gone Girl,3.72,0.64,8.63,0.92,3.6,0,1.52,0,2.5
585,"Monsters, Inc.",3.67,1.54,0.0,3.93,10.0,0,2.95,0,7.5
278927,The Jungle Book,3.66,1.77,5.43,2.71,10.0,0,4.55,0,2.5
14,American Beauty,3.65,0.62,7.5,2.54,2.4,0,0.29,0,0.0
38757,Tangled,3.54,1.63,3.9,1.37,10.0,0,6.81,0,7.5
207,Dead Poets Society,3.53,0.39,6.63,0.05,0.2,0,0.33,0,10.0
278,The Shawshank Redemption,3.5,0.0,7.5,0.2,0.4,0,0.56,0,0.0
1726,Iron Man,3.5,10.0,5.43,2.71,6.8,0,3.62,0,2.5
89,Indiana Jones and the Last Crusade,3.44,2.81,10.0,6.81,5.2,0,1.17,0,7.5
16869,Inglourious Basterds,3.42,1.47,9.33,1.51,9.8,0,1.76,0,2.5
809,Shrek 2,3.38,2.56,4.7,2.36,2.4,0,3.88,0,7.5
128,Princess Mononoke,3.38,0.25,7.5,0.92,0.4,0,0.6,0,7.5
550,Fight Club,3.33,0.14,8.63,0.92,0.0,0,1.57,0,2.5
102651,Maleficent,3.32,1.38,3.57,1.11,10.0,0,4.68,0,7.5
770,Gone with the Wind,3.3,0.7,5.13,0.38,0.4,0,0.0,0,7.5
36557,Casino Royale,3.28,3.18,5.1,0.78,0.8,0,3.88,0,7.5
10191,How to Train Your Dragon,3.26,1.51,5.0,1.07,1.4,0,4.28,0,2.5
1422,The Departed,3.25,3.27,9.9,0.61,0.2,0,2.29,0,2.5
190859,American Sniper,3.24,0.97,9.67,0.67,2.0,0,1.46,0,7.5
85,Raiders of the Lost Ark,3.24,2.81,10.0,6.81,5.2,0,0.37,0,10.0
62211,Monsters University,3.23,2.06,2.73,1.08,10.0,0,5.21,0,10.0
1865,Pirates of the Caribbean: On Stranger Tides,3.22,4.35,4.97,1.69,10.0,0,10.0,0,7.5
205596,The Imitation Game,3.21,0.39,5.9,0.04,0.2,0,0.27,0,7.5
177677,Mission: Impossible - Rogue Nation,3.17,1.24,3.47,0.95,9.4,0,3.88,0,7.5
862,Toy Story,3.14,4.86,5.0,0.33,2.8,0,0.69,0,2.5
581,Dances with Wolves,3.14,0.35,4.0,0.0,0.4,0,0.48,0,7.5
578,Jaws,3.12,0.84,10.0,6.81,9.8,0,0.08,0,10.0
137106,The Lego Movie,3.11,6.03,5.33,1.0,2.0,0,1.49,0,2.5
